                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.48269,                 0.3243,                 1.0469,                0.94927,                      1,                0.99284,                0.92546,                0.44534,                0.26677,                 1.0205,              0.0009506,              0.0009506,              0.0009506
                    109,                0.47264,                 0.3159,                 1.0454,                0.97289,                      1,                0.99424,                 0.9318,                0.44788,                0.27547,                 1.0096,              0.0009407,              0.0009407,              0.0009407
                    110,                0.45976,                0.31448,                 1.0385,                0.97441,                0.97027,                0.99346,                0.93754,                0.42805,                0.35828,                 1.0002,              0.0009308,              0.0009308,              0.0009308
                    111,                0.47128,                0.32015,                  1.043,                0.97987,                0.98726,                0.99432,                0.94057,                0.38214,                0.28573,                0.96152,              0.0009209,              0.0009209,              0.0009209
                    112,                0.47271,                0.31906,                 1.0449,                 0.9867,                0.97452,                0.99299,                0.92903,                0.41916,                0.27732,                0.96706,               0.000911,               0.000911,               0.000911
                    113,                0.47823,                0.32644,                  1.055,                0.98088,                0.96815,                0.99267,                0.92335,                0.42625,                0.29611,                0.97493,              0.0009011,              0.0009011,              0.0009011
                    114,                0.48141,                0.31802,                 1.0507,                0.99205,                0.97452,                0.99438,                0.92693,                0.41946,                0.22805,                0.99743,              0.0008912,              0.0008912,              0.0008912
                    115,                0.47143,                0.32073,                 1.0425,                0.98048,                0.98726,                0.99405,                0.92334,                0.39438,                0.23382,                0.96467,              0.0008813,              0.0008813,              0.0008813
                    116,                0.46189,                0.30638,                 1.0383,                0.95405,                      1,                0.99275,                0.93134,                 0.3953,                 0.2471,                0.96232,              0.0008714,              0.0008714,              0.0008714
                    117,                0.46984,                0.31364,                 1.0428,                0.96556,                      1,                0.99391,                0.94084,                0.40529,                0.23722,                0.98629,              0.0008615,              0.0008615,              0.0008615
                    118,                0.46532,                0.31283,                 1.0366,                0.98652,                      1,                0.99462,                0.92447,                0.46019,                 0.3152,                  1.037,              0.0008516,              0.0008516,              0.0008516
                    119,                0.46758,                0.31766,                   1.04,                0.98092,                0.98726,                0.99419,                0.93826,                0.47101,                0.25134,                 1.0912,              0.0008417,              0.0008417,              0.0008417
                    120,                0.46498,                0.31365,                 1.0413,                 0.9795,                0.98726,                 0.9943,                0.93208,                0.48363,                0.25602,                 1.0631,              0.0008318,              0.0008318,              0.0008318
                    121,                0.46762,                0.31814,                 1.0445,                0.97437,                      1,                0.99462,                0.93674,                0.48262,                0.27788,                 1.1044,              0.0008219,              0.0008219,              0.0008219
                    122,                0.45891,                0.31397,                 1.0431,                0.97256,                      1,                0.99449,                0.93046,                0.39033,                  0.259,                0.96439,               0.000812,               0.000812,               0.000812
                    123,                0.46034,                0.30876,                 1.0442,                 0.9871,                0.97513,                0.99432,                 0.9385,                0.40541,                0.28122,                0.98338,              0.0008021,              0.0008021,              0.0008021
                    124,                0.45732,                0.30897,                 1.0376,                 0.9745,                0.98726,                0.99381,                0.93007,                0.47743,                0.24464,                 1.0677,              0.0007922,              0.0007922,              0.0007922
                    125,                0.46428,                0.31898,                 1.0392,                 0.9871,                0.98089,                0.99439,                0.91312,                0.43832,                0.24032,                 1.0287,              0.0007823,              0.0007823,              0.0007823
                    126,                0.44668,                0.30752,                 1.0338,                 0.9923,                      1,                  0.995,                0.93619,                0.40381,                0.22676,                0.97505,              0.0007724,              0.0007724,              0.0007724
                    127,                0.45212,                0.31024,                 1.0379,                0.99351,                0.98089,                0.99451,                0.92482,                 0.4425,                0.23545,                 1.0623,              0.0007625,              0.0007625,              0.0007625
                    128,                 0.4474,                0.30124,                  1.033,                0.98249,                0.99363,                0.99481,                0.91864,                0.43613,                0.24719,                 1.0152,              0.0007526,              0.0007526,              0.0007526
                    129,                0.44985,                0.30736,                 1.0357,                0.98865,                      1,                  0.995,                0.92424,                0.43346,                0.23872,                 1.0485,              0.0007427,              0.0007427,              0.0007427
